dates,CFT01,ub_y0_p0,lb_y0,mv_p0,bw_p1
2015/12/25,100.26,100.2520326,98.37446741,99.31325,0.018905485
2015/12/28,100.48,100.442114,98.33088596,99.3865,0.021242604
2015/12/29,100.23,100.5345992,98.38640084,99.4605,0.021598507
2015/12/30,100.15,100.5997386,98.45326144,99.5265,0.02156689
2015/12/31,100.035,100.6425676,98.51743236,99.58,0.021340985
2016/1/4,99.865,100.6458851,98.61461485,99.63025,0.020388088
2016/1/5,99.595,100.6294824,98.69551758,99.6625,0.019405141
2016/1/6,100.02,100.657741,98.74975904,99.70375,0.019136511
2016/1/7,99.865,100.6623458,98.81465423,99.7385,0.018525359
2016/1/8,100.24,100.6956081,98.89489188,99.79525,0.018044108
2016/1/11,100.23,100.7354026,98.94109742,99.83825,0.017972121
2016/1/12,100.62,100.7677611,99.08373887,99.92575,0.016852736
2016/1/13,100.82,100.8476317,99.17736827,100.0125,0.016700547
2016/1/14,100.445,100.8337128,99.31978715,100.07675,0.015127646
2016/1/15,100.645,100.8174212,99.48557883,100.1515,0.013298276
2016/1/18,100.285,100.7974915,99.57800846,100.18775,0.012171978
2016/1/19,100.13,100.7888897,99.61911027,100.204,0.01167398
2016/1/20,100.27,100.7912445,99.65325549,100.22225,0.011354654
2016/1/21,100.365,100.802402,99.68059805,100.2415,0.011191013
2016/1/22,100.42,100.8146192,99.68238075,100.2485,0.011294319
2016/1/25,99.835,100.8212658,99.63323422,100.22725,0.011853379
2016/1/26,99.91,100.7962103,99.60128975,100.19875,0.011925503
2016/1/27,99.77,100.8013799,99.55012012,100.17575,0.012490645
2016/1/28,99.965,100.798814,99.534186,100.1665,0.012625259
2016/1/29,100.365,100.8179441,99.54805591,100.183,0.012675685
2016/2/1,100.34,100.8277192,99.5857808,100.20675,0.01239376
2016/2/2,99.92,100.7940902,99.65190981,100.223,0.01139639
2016/2/3,100.07,100.7934428,99.65755722,100.2255,0.011333299
2016/2/4,100.25,100.7880775,99.70142252,100.24475,0.010840019
2016/2/5,100.295,100.7912601,99.70373994,100.2475,0.010848351
2016/2/15,100.7,100.8492352,99.69276475,100.271,0.011533449
2016/2/16,100.36,100.8155877,99.70041234,100.258,0.011123056
2016/2/17,100.415,100.7387737,99.7367263,100.23775,0.009996707
2016/2/18,99.89,100.7233615,99.69663853,100.21,0.010245713
2016/2/19,99.765,100.6734998,99.65850025,100.166,0.010133174
2016/2/22,99.695,100.6802012,99.5927988,100.1365,0.010859201
2016/2/23,99.605,100.7013039,99.51919607,100.11025,0.01180806
2016/2/24,99.51,100.7129721,99.43152795,100.07225,0.012805189
2016/2/25,99.345,100.7203628,99.32213717,100.02125,0.013979286
2016/2/26,99.42,100.6918461,99.25065389,99.97125,0.014416067
2016/2/29,99.46,100.7051055,99.19989453,99.9525,0.015059263
2016/3/1,99.385,100.7185307,99.13396927,99.92625,0.015857309
2016/3/2,99.135,100.7570596,99.03194044,99.8945,0.01726941
2016/3/3,98.96,100.7969161,98.89158387,99.84425,0.019083044
2016/3/4,99.085,100.7560803,98.80441971,99.78025,0.019559588
2016/3/7,98.695,100.7458903,98.65010974,99.698,0.02102129
2016/3/8,98.82,100.7521862,98.53381381,99.643,0.022263203
2016/3/9,99.135,100.7083196,98.48418042,99.59625,0.022331555
2016/3/10,99.42,100.6273845,98.48211551,99.55475,0.021548635
2016/3/11,99.79,100.5539359,98.50506406,99.5295,0.020585574
2016/3/14,99.65,100.352976,98.60102397,99.477,0.017611629
2016/3/15,99.71,100.2306482,98.6583518,99.4445,0.015810793
2016/3/16,99.985,100.1203048,98.72569519,99.423,0.014027032
2016/3/17,99.695,100.089292,98.73720803,99.41325,0.013600641
2016/3/18,99.68,100.0771661,98.74083385,99.409,0.01344277
2016/3/21,99.51,100.0568533,98.7426467,99.39975,0.013221428
2016/3/22,99.625,100.0591593,98.74234074,99.40075,0.013247571
2016/3/23,99.645,100.072981,98.74201897,99.4075,0.01338895
2016/3/24,99.855,100.1254839,98.74051607,99.433,0.013928654
2016/3/25,99.815,100.1648769,98.74062308,99.45275,0.01432091
